date,region,Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm)
201906302300,종로구,34,34,28,0.04,0.012,0.4,0.003
201906302300,중구,36,34,29,0.049,0.016,0.6,0.002
201906302300,용산구,33,31,29,0.052,0.013,0.4,0.002
201906302300,은평구,44,36,32,0.046,0.013,0.3,0.004
201906302300,마포구,38,34,37,0.049,0.007,0.4,0.003
201906302300,서대문구,40,32,34,0.048,0.007,0.7,0.002
201906302300,광진구,38,35,38,0.038,0.011,0.6,0.003
201906302300,성동구,50,41,43,0.054,0.014,0.4,0.002
201906302300,강북구,53,47,36,0.038,0.011,0.4,0.002
201906302300,노원구,44,39,34,0.036,0.015,0.5,0.003
201906302300,중랑구,36,35,32,0.041,0.013,0.4,0.005
201906302300,동대문구,36,33,34,0.047,0.008,0.4,0.004
201906302300,도봉구,33,32,25,0.042,0.01,0.4,0.003
201906302300,성북구,35,31,21,0.043,0.014,0.7,0.002
201906302300,관악구,46,39,37,0.053,0.013,0.3,0.003
201906302300,금천구,42,35,31,0.041,0.012,0.4,0.003
201906302300,영등포구,44,37,39,0.048,0.014,0.4,0.001
201906302300,구로구,27,26,27,0.056,0.007,0.3,0.003
201906302300,강서구,37,36,36,0.049,0.011,0.4,0.003
201906302300,양천구,48,43,32,0.034,0.013,0.4,0.003
201906302300,동작구,52,43,38,0.041,0.01,0.4,0.003
201906302300,송파구,42,34,31,0.043,0.014,0.4,0.002
201906302300,강남구,39,34,31,0.045,0.008,0.4,0.004
201906302300,강동구,41,37,35,0.039,0.009,0.4,0.003
201906302300,서초구,0,30,34,0.048,0.009,0.4,0.004
201906302200,종로구,39,34,27,0.035,0.015,0.4,0.003
201906302200,중구,43,33,31,0.043,0.02,0.6,0.002
201906302200,용산구,35,30,33,0.046,0.016,0.4,0.002
201906302200,마포구,40,32,32,0.047,0.008,0.4,0.003
201906302200,서대문구,37,30,35,0.046,0.008,0.7,0.002
201906302200,은평구,40,34,32,0.042,0.016,0.3,0.004
201906302200,성북구,35,29,28,0.043,0.014,0.7,0.003
201906302200,중랑구,35,37,32,0.039,0.013,0.4,0.005
201906302200,광진구,38,34,35,0.034,0.013,0.6,0.003
201906302200,성동구,50,39,42,0.046,0.017,0.4,0.002
201906302200,노원구,41,38,32,0.037,0.014,0.4,0.004
201906302200,도봉구,35,32,24,0.047,0.008,0.4,0.003
201906302200,강북구,49,47,35,0.041,0.01,0.4,0.002
201906302200,동대문구,36,32,31,0.04,0.01,0.4,0.003
201906302200,관악구,50,36,40,0.05,0.014,0.3,0.003
201906302200,양천구,49,41,34,0.034,0.012,0.4,0.004
201906302200,동작구,48,41,37,0.039,0.01,0.3,0.002
201906302200,강서구,39,35,34,0.047,0.011,0.4,0.002
201906302200,금천구,40,33,30,0.034,0.016,0.4,0.003
201906302200,영등포구,42,35,35,0.048,0.015,0.4,0.001
201906302200,구로구,0,25,33,0.055,0.007,0.3,0.003
201906302200,강남구,38,33,29,0.038,0.009,0.4,0.005
201906302200,송파구,32,31,27,0.042,0.014,0.4,0.003
201906302200,강동구,40,36,35,0.035,0.011,0.4,0.003
201906302200,서초구,0,30,35,0.043,0.009,0.3,0.004
201906302100,용산구,0,28,38,0.044,0.014,0.4,0.002
201906302100,종로구,42,33,29,0.033,0.014,0.4,0.003
201906302100,중구,40,30,29,0.042,0.018,0.4,0.002
201906302100,마포구,40,30,31,0.043,0.011,0.4,0.003
201906302100,은평구,44,32,32,0.04,0.018,0.3,0.004
201906302100,서대문구,38,29,31,0.043,0.01,0.7,0.002
201906302100,도봉구,32,32,23,0.049,0.008,0.4,0.003
201906302100,동대문구,40,30,32,0.037,0.011,0.4,0.004
201906302100,노원구,39,37,33,0.036,0.014,0.4,0.003
201906302100,광진구,36,33,34,0.032,0.014,0.6,0.003
201906302100,성북구,44,27,28,0.039,0.015,0.7,0.002
201906302100,강북구,50,46,37,0.042,0.012,0.5,0.002
201906302100,성동구,45,36,43,0.045,0.016,0.4,0.002
201906302100,중랑구,0,37,34,0.037,0.018,0.4,0.004
201906302100,영등포구,38,34,32,0.043,0.014,0.6,0.002
201906302100,구로구,32,24,29,0.052,0.007,0.3,0.004
201906302100,양천구,50,39,36,0.032,0.012,0.4,0.003
201906302100,동작구,51,38,38,0.036,0.011,0.3,0.003
201906302100,관악구,44,33,34,0.046,0.014,0.3,0.004
201906302100,강서구,45,34,36,0.044,0.012,0.3,0.002
201906302100,금천구,44,30,32,0.033,0.013,0.4,0.003
201906302100,강동구,45,35,35,0.032,0.015,0.4,0.003
201906302100,서초구,38,29,34,0.036,0.012,0.3,0.004
201906302100,송파구,36,32,29,0.038,0.015,0.4,0.003
201906302100,강남구,39,31,29,0.031,0.012,0.4,0.004
201906302000,종로구,36,31,27,0.034,0.015,0.4,0.003
201906302000,용산구,32,28,30,0.044,0.015,0.4,0.002
201906302000,중구,34,28,29,0.047,0.014,0.4,0.002
201906302000,서대문구,33,27,28,0.043,0.009,0.7,0.002
201906302000,마포구,34,28,30,0.044,0.009,0.4,0.003
201906302000,은평구,33,30,28,0.04,0.017,0.3,0.004
201906302000,중랑구,0,34,34,0.039,0.012,0.4,0.006
201906302000,광진구,37,31,30,0.036,0.013,0.6,0.003
201906302000,강북구,48,45,33,0.038,0.014,0.5,0.002
201906302000,노원구,41,36,33,0.037,0.014,0.5,0.003
201906302000,동대문구,34,29,29,0.038,0.01,0.3,0.004
201906302000,성동구,39,33,39,0.047,0.015,0.4,0.002
201906302000,성북구,31,24,21,0.041,0.013,0.7,0.002
201906302000,도봉구,33,32,22,0.046,0.009,0.4,0.003
201906302000,영등포구,40,32,32,0.04,0.015,0.7,0.002
201906302000,구로구,29,22,23,0.05,0.008,0.3,0.004
201906302000,양천구,47,37,34,0.032,0.012,0.4,0.004
201906302000,관악구,42,30,35,0.047,0.012,0.2,0.004
201906302000,금천구,34,27,25,0.034,0.014,0.4,0.003
201906302000,강서구,39,32,32,0.043,0.011,0.3,0.003
201906302000,동작구,48,35,37,0.035,0.012,0.3,0.002
201906302000,강남구,37,29,29,0.034,0.01,0.3,0.004
201906302000,서초구,29,26,29,0.039,0.011,0.3,0.004
201906302000,송파구,42,31,32,0.041,0.014,0.4,0.003
201906302000,강동구,39,34,33,0.032,0.015,0.4,0.003
201906301900,중구,30,27,25,0.045,0.015,0.4,0.003
201906301900,용산구,31,28,30,0.042,0.018,0.4,0.002
201906301900,종로구,34,30,25,0.035,0.014,0.4,0.003
201906301900,서대문구,30,26,23,0.045,0.008,0.7,0.003
201906301900,은평구,35,29,30,0.04,0.016,0.3,0.004
201906301900,마포구,29,27,25,0.045,0.009,0.4,0.003
201906301900,광진구,0,30,33,0.036,0.013,0.6,0.003
201906301900,도봉구,35,31,21,0.043,0.01,0.5,0.003
201906301900,동대문구,31,28,26,0.036,0.012,0.4,0.004
201906301900,중랑구,44,34,34,0.038,0.016,0.4,0.007
201906301900,성북구,27,23,17,0.038,0.016,0.7,0.003
201906301900,강북구,57,43,40,0.037,0.014,0.5,0.002
201906301900,노원구,44,35,34,0.035,0.016,0.4,0.003
201906301900,성동구,0,33,28,0.047,0.015,0.4,0.003
201906301900,구로구,25,21,22,0.051,0.008,0.3,0.004
201906301900,강서구,37,31,34,0.043,0.011,0.3,0.002
201906301900,양천구,43,35,32,0.033,0.012,0.4,0.004
201906301900,관악구,35,27,23,0.048,0.012,0.2,0.004
201906301900,동작구,41,32,30,0.035,0.011,0.3,0.003
201906301900,영등포구,38,31,31,0.041,0.013,0.5,0.002
201906301900,금천구,34,25,25,0.034,0.014,0.3,0.003
201906301900,강남구,29,28,24,0.033,0.01,0.3,0.005
201906301900,강동구,38,33,31,0.034,0.015,0.4,0.003
201906301900,서초구,32,25,31,0.039,0.01,0.3,0.004
201906301900,송파구,27,30,20,0.045,0.013,0.3,0.004
201906301800,중구,30,27,24,0.047,0.014,0.3,0.003
201906301800,용산구,29,28,26,0.044,0.015,0.4,0.003
201906301800,종로구,32,30,24,0.035,0.014,0.4,0.003
201906301800,은평구,26,29,22,0.039,0.017,0.3,0.004
201906301800,마포구,27,27,27,0.044,0.009,0.4,0.003
201906301800,서대문구,27,26,20,0.043,0.008,0.6,0.002
201906301800,성북구,27,22,17,0.042,0.014,0.7,0.003
201906301800,노원구,37,33,30,0.039,0.015,0.4,0.003
201906301800,동대문구,29,28,25,0.041,0.009,0.3,0.004
201906301800,광진구,29,30,26,0.04,0.011,0.6,0.003
201906301800,성동구,35,34,24,0.05,0.014,0.3,0.003
201906301800,도봉구,35,30,21,0.05,0.009,0.4,0.003
201906301800,강북구,49,40,33,0.041,0.012,0.5,0.002
201906301800,중랑구,35,30,31,0.047,0.011,0.4,0.006
201906301800,구로구,21,21,20,0.046,0.008,0.2,0.004
201906301800,금천구,28,24,19,0.031,0.015,0.3,0.004
201906301800,강서구,35,29,29,0.041,0.011,0.4,0.003
201906301800,양천구,39,33,28,0.032,0.012,0.4,0.004
201906301800,영등포구,33,30,22,0.04,0.013,0.5,0.002
201906301800,동작구,35,31,27,0.036,0.011,0.3,0.003
201906301800,관악구,31,26,22,0.046,0.01,0.2,0.004
201906301800,강남구,28,28,23,0.036,0.009,0.3,0.005
201906301800,송파구,34,30,24,0.047,0.013,0.3,0.003
201906301800,서초구,27,24,22,0.04,0.009,0.3,0.004
201906301800,강동구,32,31,28,0.039,0.011,0.4,0.003
201906301700,종로구,32,29,22,0.039,0.012,0.4,0.003
201906301700,용산구,29,27,25,0.05,0.012,0.4,0.002
201906301700,중구,27,27,22,0.043,0.024,0.4,0.003
201906301700,마포구,28,28,23,0.046,0.011,0.4,0.003
201906301700,서대문구,22,26,18,0.046,0.01,0.6,0.003
201906301700,은평구,26,29,22,0.047,0.015,0.2,0.004
201906301700,도봉구,28,30,17,0.054,0.008,0.4,0.003
201906301700,광진구,23,30,22,0.045,0.01,0.6,0.003
201906301700,동대문구,28,28,25,0.046,0.008,0.3,0.004
201906301700,성북구,26,18,19,0.042,0.016,0.7,0.003
201906301700,성동구,28,35,22,0.055,0.013,0.3,0.002
201906301700,강북구,44,39,28,0.045,0.011,0.4,0.002
201906301700,중랑구,27,28,26,0.048,0.013,0.4,0.005
201906301700,노원구,36,32,29,0.044,0.012,0.4,0.004
201906301700,양천구,37,31,26,0.036,0.011,0.3,0.004
201906301700,관악구,28,26,19,0.051,0.009,0.1,0.004
201906301700,금천구,22,24,17,0.036,0.012,0.3,0.003
201906301700,동작구,30,31,23,0.038,0.01,0.3,0.003
201906301700,구로구,21,22,21,0.052,0.007,0.2,0.004
201906301700,강서구,30,28,26,0.044,0.012,0.3,0.003
201906301700,영등포구,31,30,26,0.042,0.016,0.6,0.003
201906301700,강남구,26,28,21,0.039,0.007,0.3,0.005
201906301700,강동구,37,30,31,0.042,0.009,0.3,0.003
201906301700,송파구,27,29,13,0.049,0.011,0.3,0.003
201906301700,서초구,23,24,17,0.045,0.009,0.3,0.004
201906301600,중구,29,26,24,0.05,0.016,0.3,0.003
201906301600,용산구,27,26,26,0.048,0.013,0.4,0.003
201906301600,종로구,31,28,23,0.04,0.012,0.4,0.003
201906301600,서대문구,25,27,23,0.048,0.008,0.6,0.003
201906301600,마포구,25,28,19,0.05,0.008,0.4,0.003
201906301600,은평구,30,29,24,0.05,0.012,0.2,0.004
201906301600,광진구,31,33,26,0.048,0.01,0.5,0.004
201906301600,강북구,39,38,27,0.042,0.012,0.4,0.002
201906301600,성동구,36,36,24,0.056,0.011,0.3,0.003
201906301600,성북구,29,14,19,0.045,0.015,0.6,0.003
201906301600,동대문구,29,27,26,0.048,0.008,0.3,0.004
201906301600,중랑구,0,0,28,0.048,0.013,0.4,0.006
201906301600,노원구,33,30,27,0.045,0.011,0.4,0.004
201906301600,도봉구,28,31,17,0.051,0.007,0.4,0.003
201906301600,양천구,32,29,24,0.038,0.01,0.4,0.004
201906301600,강서구,31,27,24,0.048,0.01,0.3,0.003
201906301600,영등포구,28,29,21,0.043,0.016,0.3,0.003
201906301600,관악구,23,26,16,0.051,0.009,0.2,0.004
201906301600,동작구,31,30,25,0.041,0.008,0.3,0.003
201906301600,금천구,23,24,19,0.038,0.009,0.3,0.003
201906301600,구로구,23,19,19,0.052,0.005,0.2,0.004
201906301600,송파구,35,29,23,0.056,0.01,0.3,0.004
201906301600,강남구,29,29,25,0.047,0.005,0.3,0.005
201906301600,서초구,18,25,17,0.046,0.007,0.3,0.004
201906301600,강동구,35,27,31,0.048,0.009,0.4,0.003
201906301500,용산구,31,25,30,0.05,0.011,0.3,0.003
201906301500,종로구,30,26,22,0.04,0.013,0.4,0.003
201906301500,중구,27,25,23,0.052,0.015,0.4,0.003
201906301500,마포구,24,28,21,0.047,0.008,0.4,0.004
201906301500,은평구,26,29,23,0.05,0.013,0.2,0.004
201906301500,서대문구,24,27,18,0.048,0.008,0.6,0.003
201906301500,광진구,0,0,28,0.046,0.011,0.6,0.004
201906301500,동대문구,32,26,28,0.049,0.009,0.3,0.004
201906301500,중랑구,0,0,36,0.053,0.014,0.3,0.005
201906301500,성북구,0,9,13,0.048,0.013,0.6,0.003
201906301500,강북구,42,36,29,0.05,0.01,0.4,0.002
201906301500,성동구,34,35,27,0.055,0.013,0.4,0.003
201906301500,도봉구,29,31,21,0.061,0.007,0.4,0.004
201906301500,노원구,34,29,29,0.051,0.014,0.4,0.004
201906301500,금천구,27,24,21,0.037,0.011,0.3,0.003
201906301500,강서구,29,25,22,0.047,0.008,0.3,0.003
201906301500,영등포구,30,29,23,0.043,0.013,0.2,0.003
201906301500,양천구,32,29,25,0.037,0.009,0.3,0.004
201906301500,구로구,0,17,20,0.05,0.006,0.2,0.004
201906301500,동작구,35,29,28,0.042,0.008,0.3,0.003
201906301500,관악구,24,26,18,0.049,0.009,0.2,0.004
201906301500,송파구,27,27,16,0.054,0.01,0.3,0.003
201906301500,서초구,0,28,25,0.046,0.009,0.3,0.004
201906301500,강동구,31,25,25,0.047,0.011,0.4,0.003
201906301500,강남구,30,27,27,0.044,0.006,0.3,0.004
201906301400,종로구,27,26,21,0.047,0.012,0.4,0.004
201906301400,중구,24,25,20,0.059,0.015,0.4,0.003
201906301400,용산구,25,23,24,0.058,0.013,0.4,0.004
201906301400,은평구,26,30,22,0.058,0.014,0.2,0.004
201906301400,마포구,22,29,22,0.057,0.007,0.4,0.004
201906301400,서대문구,24,27,19,0.059,0.007,0.6,0.003
201906301400,성동구,34,34,28,0.065,0.012,0.3,0.003
201906301400,광진구,0,29,26,0.047,0.011,0.5,0.004
201906301400,동대문구,26,24,24,0.057,0.009,0.4,0.005
201906301400,도봉구,32,30,21,0.062,0.008,0.4,0.004
201906301400,노원구,33,28,27,0.056,0.013,0.4,0.004
201906301400,강북구,41,33,29,0.053,0.011,0.4,0.002
201906301400,중랑구,0,0,28,0.06,0.013,0.3,0.006
201906301400,성북구,7,10,9,0.053,0.016,0.6,0.003
201906301400,금천구,25,23,19,0.044,0.01,0.3,0.003
201906301400,영등포구,27,29,23,0.047,0.014,0.3,0.003
201906301400,양천구,25,29,19,0.046,0.008,0.4,0.005
201906301400,관악구,25,26,22,0.056,0.007,0.2,0.005
201906301400,동작구,28,28,23,0.047,0.008,0.3,0.003
201906301400,강서구,23,25,20,0.052,0.009,0.3,0.003
201906301400,구로구,0,18,17,0.054,0.006,0.3,0.005
201906301400,강동구,24,25,20,0.05,0.01,0.3,0.003
201906301400,강남구,23,26,19,0.051,0.008,0.3,0.005
201906301400,송파구,23,27,13,0.057,0.011,0.3,0.003
201906301400,서초구,28,26,26,0.053,0.01,0.3,0.004
201906301300,종로구,19,26,11,0.042,0.013,0.3,0.004
201906301300,중구,15,26,14,0.052,0.015,0.3,0.003
201906301300,용산구,18,24,16,0.054,0.014,0.3,0.003
201906301300,은평구,19,32,19,0.055,0.013,0.2,0.004
201906301300,서대문구,18,28,18,0.053,0.009,0.6,0.003
201906301300,마포구,26,31,17,0.051,0.008,0.3,0.004
201906301300,광진구,0,33,25,0.041,0.014,0.5,0.004
201906301300,강북구,36,31,24,0.052,0.01,0.4,0.003
201906301300,성북구,7,10,9,0.048,0.015,0.6,0.003
201906301300,노원구,25,28,17,0.048,0.014,0.4,0.004
201906301300,중랑구,0,29,23,0.051,0.014,0.3,0.007
201906301300,동대문구,19,24,18,0.051,0.009,0.3,0.004
201906301300,성동구,24,35,24,0.058,0.014,0.3,0.003
201906301300,도봉구,33,30,16,0.057,0.009,0.4,0.004
201906301300,강서구,20,26,16,0.051,0.008,0.3,0.003
201906301300,영등포구,23,31,23,0.039,0.015,0.2,0.003
201906301300,동작구,24,29,17,0.044,0.01,0.3,0.003
201906301300,양천구,22,30,15,0.043,0.008,0.3,0.003
201906301300,관악구,22,27,16,0.054,0.009,0.1,0.005
201906301300,구로구,12,20,11,0.052,0.006,0.2,0.005
201906301300,금천구,19,23,16,0.041,0.012,0.3,0.004
201906301300,강동구,18,26,15,0.044,0.011,0.3,0.003
201906301300,송파구,17,28,10,0.051,0.011,0.3,0.003
201906301300,강남구,0,28,15,0.036,0.008,0.3,0.005
201906301300,서초구,24,26,21,0.05,0.011,0.3,0.004
201906301200,종로구,16,27,11,0.034,0.014,0.3,0.004
201906301200,중구,17,27,13,0.037,0.021,0.3,0.003
201906301200,용산구,15,26,12,0.04,0.017,0.3,0.004
201906301200,서대문구,17,30,14,0.042,0.01,0.5,0.004
201906301200,은평구,27,34,19,0.042,0.015,0.1,0.004
201906301200,마포구,17,33,12,0.042,0.008,0.3,0.004
201906301200,도봉구,27,30,17,0.043,0.01,0.3,0.004
201906301200,성동구,22,37,12,0.046,0.014,0.3,0.003
201906301200,성북구,10,12,9,0.037,0.018,0.6,0.003
201906301200,강북구,28,32,14,0.04,0.014,0.4,0.003
201906301200,노원구,25,29,20,0.035,0.017,0.4,0.004
201906301200,광진구,0,35,22,0.029,0.015,0.5,0.004
201906301200,중랑구,0,29,20,0.04,0.011,0.3,0.008
201906301200,동대문구,16,25,14,0.04,0.011,0.2,0.004
201906301200,구로구,11,22,9,0.044,0.007,0.2,0.005
201906301200,강서구,16,28,12,0.044,0.008,0.2,0.003
201906301200,동작구,19,30,13,0.038,0.009,0.3,0.003
201906301200,금천구,15,24,12,0.035,0.012,0.3,0.004
201906301200,영등포구,20,33,16,0.033,0.016,0.2,0.003
201906301200,양천구,24,32,10,0.036,0.01,0.3,0.005
201906301200,관악구,17,29,11,0.045,0.01,0.1,0.005
201906301200,강동구,21,29,18,0.035,0.012,0.3,0.003
201906301200,송파구,21,31,12,0.04,0.011,0.3,0.003
201906301200,서초구,0,26,18,0.04,0.011,0.2,0.004
201906301200,강남구,18,29,13,0.032,0.008,0.3,0.005
201906301100,용산구,18,28,16,0.033,0.018,0.3,0.003
201906301100,중구,23,30,15,0.031,0.023,0.3,0.003
201906301100,종로구,24,30,0,0.029,0.014,0.3,0.003
201906301100,서대문구,22,34,13,0.033,0.012,0.6,0.003
201906301100,마포구,24,36,15,0.034,0.011,0.3,0.004
201906301100,은평구,30,36,27,0.033,0.018,0.2,0.004
201906301100,노원구,27,29,24,0.032,0.016,0.3,0.004
201906301100,동대문구,19,27,19,0.032,0.013,0.3,0.004
201906301100,강북구,23,33,10,0.036,0.01,0.3,0.002
201906301100,성동구,22,42,17,0.039,0.014,0.3,0.003
201906301100,중랑구,0,28,25,0.032,0.014,0.3,0.006
201906301100,성북구,12,13,13,0.028,0.02,0.6,0.003
201906301100,광진구,24,35,24,0.027,0.014,0.5,0.004
201906301100,도봉구,20,31,10,0.039,0.007,0.3,0.003
201906301100,구로구,17,25,16,0.036,0.008,0.2,0.005
201906301100,강서구,20,32,17,0.035,0.012,0.2,0.004
201906301100,동작구,22,33,12,0.032,0.01,0.3,0.003
201906301100,금천구,19,27,12,0.028,0.014,0.3,0.004
201906301100,관악구,16,31,16,0.037,0.011,0.1,0.005
201906301100,영등포구,19,36,15,0.029,0.015,0.2,0.003
201906301100,양천구,25,35,12,0.028,0.013,0.3,0.004
201906301100,송파구,22,33,15,0.037,0.01,0.3,0.003
201906301100,강남구,0,32,13,0.033,0.009,0.3,0.005
201906301100,서초구,17,27,12,0.034,0.011,0.2,0.004
201906301100,강동구,28,30,23,0.033,0.011,0.3,0.004
201906301000,용산구,27,30,21,0.029,0.02,0.3,0.003
201906301000,종로구,28,31,0,0.026,0.018,0.4,0.003
201906301000,중구,28,32,20,0.02,0.031,0.5,0.003
201906301000,서대문구,30,37,18,0.034,0.012,0.6,0.003
201906301000,은평구,39,37,27,0.033,0.018,0.2,0.004
201906301000,마포구,29,39,22,0.033,0.01,0.3,0.004
201906301000,성동구,38,46,21,0.035,0.015,0.3,0.003
201906301000,노원구,31,30,22,0.03,0.015,0.4,0.004
201906301000,중랑구,30,27,29,0.028,0.016,0.3,0.007
201906301000,광진구,39,36,35,0.022,0.017,0.6,0.004
201906301000,강북구,29,35,19,0.037,0.009,0.3,0.003
201906301000,동대문구,25,29,20,0.029,0.014,0.4,0.004
201906301000,도봉구,29,32,18,0.036,0.008,0.3,0.004
201906301000,성북구,0,0,23,0.027,0.023,0.6,0.003
201906301000,강서구,23,34,17,0.034,0.015,0.3,0.004
201906301000,구로구,23,26,14,0.033,0.01,0.2,0.004
201906301000,관악구,22,35,18,0.034,0.012,0.1,0.004
201906301000,동작구,28,35,20,0.032,0.009,0.3,0.003
201906301000,금천구,20,29,15,0.026,0.014,0.3,0.004
201906301000,양천구,29,36,19,0.023,0.014,0.3,0.004
201906301000,영등포구,30,39,19,0.026,0.017,0.2,0.003
201906301000,강남구,29,32,22,0.028,0.009,0.3,0.004
201906301000,서초구,23,29,20,0.034,0.01,0.2,0.004
201906301000,강동구,31,30,25,0.031,0.013,0.3,0.003
201906301000,송파구,30,35,16,0.035,0.011,0.3,0.003
201906300900,중구,26,33,20,0.022,0.025,0.4,0.003
201906300900,용산구,32,31,21,0.026,0.019,0.4,0.003
201906300900,종로구,30,32,0,0.021,0.02,0.4,0.003
201906300900,마포구,38,41,27,0.025,0.015,0.4,0.004
201906300900,은평구,36,36,27,0.025,0.023,0.2,0.004
201906300900,서대문구,32,38,30,0.026,0.016,0.6,0.004
201906300900,동대문구,30,30,22,0.023,0.016,0.4,0.005
201906300900,성북구,0,0,22,0.026,0.017,0.6,0.003
201906300900,중랑구,30,26,26,0.022,0.015,0.3,0.006
201906300900,강북구,41,36,25,0.029,0.015,0.4,0.002
201906300900,광진구,40,34,38,0.02,0.017,0.6,0.004
201906300900,성동구,43,48,36,0.029,0.017,0.3,0.003
201906300900,노원구,32,29,24,0.027,0.014,0.4,0.004
201906300900,도봉구,36,33,24,0.032,0.009,0.4,0.004
201906300900,강서구,33,36,25,0.027,0.015,0.3,0.004
201906300900,동작구,35,36,26,0.026,0.012,0.3,0.003
201906300900,관악구,29,38,21,0.028,0.014,0.2,0.004
201906300900,구로구,22,28,22,0.027,0.011,0.2,0.004
201906300900,금천구,25,30,21,0.02,0.016,0.3,0.004
201906300900,영등포구,33,41,25,0.019,0.021,0.3,0.003
201906300900,양천구,30,38,22,0.018,0.015,0.4,0.004
201906300900,강남구,34,32,21,0.022,0.011,0.3,0.005
201906300900,서초구,27,31,24,0.026,0.011,0.3,0.004
201906300900,강동구,35,29,26,0.026,0.015,0.4,0.003
201906300900,송파구,40,36,25,0.03,0.014,0.4,0.003
201906300800,종로구,33,33,21,0.022,0.019,0.4,0.003
201906300800,용산구,30,31,24,0.019,0.027,0.4,0.003
201906300800,중구,32,35,22,0.025,0.022,0.4,0.003
201906300800,마포구,38,42,30,0.019,0.018,0.4,0.004
201906300800,서대문구,43,38,25,0.029,0.01,0.6,0.003
201906300800,은평구,36,36,31,0.03,0.014,0.2,0.004
201906300800,성동구,53,48,40,0.025,0.022,0.4,0.003
201906300800,성북구,0,0,20,0.027,0.015,0.6,0.003
201906300800,노원구,29,29,23,0.021,0.016,0.4,0.003
201906300800,도봉구,34,32,24,0.021,0.014,0.5,0.004
201906300800,광진구,36,31,36,0.014,0.021,0.6,0.004
201906300800,강북구,37,36,24,0.02,0.016,0.4,0.002
201906300800,중랑구,26,25,23,0.02,0.018,0.3,0.005
201906300800,동대문구,31,30,24,0.023,0.017,0.4,0.003
201906300800,동작구,36,36,25,0.024,0.013,0.3,0.003
201906300800,양천구,37,39,25,0.013,0.02,0.4,0.004
201906300800,금천구,30,31,23,0.016,0.017,0.3,0.004
201906300800,강서구,36,36,23,0.018,0.023,0.3,0.004
201906300800,관악구,31,40,25,0.024,0.018,0.2,0.004
201906300800,구로구,28,29,27,0.022,0.014,0.2,0.004
201906300800,영등포구,37,43,28,0.017,0.024,0.3,0.002
201906300800,강동구,30,27,23,0.016,0.023,0.4,0.004
201906300800,송파구,37,36,20,0.025,0.016,0.4,0.003
201906300800,강남구,31,32,21,0.022,0.012,0.3,0.005
201906300800,서초구,27,33,25,0.024,0.012,0.3,0.004
201906300700,중구,40,36,28,0.031,0.018,0.4,0.002
201906300700,종로구,37,33,26,0.025,0.018,0.4,0.003
201906300700,용산구,32,32,29,0.017,0.034,0.5,0.002
201906300700,은평구,40,37,31,0.025,0.013,0.2,0.004
201906300700,마포구,44,43,34,0.02,0.021,0.5,0.004
201906300700,서대문구,46,38,39,0.029,0.012,0.7,0.003
201906300700,강북구,35,36,25,0.018,0.012,0.4,0.002
201906300700,노원구,30,28,25,0.015,0.019,0.4,0.004
201906300700,중랑구,29,24,28,0.015,0.016,0.4,0.006
201906300700,동대문구,32,30,29,0.025,0.016,0.3,0.004
201906300700,도봉구,34,32,22,0.021,0.01,0.4,0.003
201906300700,성북구,0,0,28,0.019,0.02,0.7,0.002
201906300700,성동구,59,48,44,0.03,0.02,0.4,0.003
201906300700,광진구,34,30,33,0.005,0.023,0.7,0.003
201906300700,영등포구,41,44,31,0.022,0.024,0.3,0.002
201906300700,구로구,0,32,30,0.021,0.018,0.3,0.004
201906300700,강서구,34,36,21,0.021,0.023,0.4,0.005
201906300700,금천구,30,31,25,0.014,0.022,0.5,0.004
201906300700,양천구,36,40,26,0.018,0.021,0.4,0.004
201906300700,동작구,36,37,25,0.025,0.012,0.3,0.002
201906300700,관악구,45,42,31,0.022,0.024,0.3,0.004
201906300700,송파구,39,35,28,0.025,0.019,0.4,0.003
201906300700,강동구,27,27,20,0.007,0.024,0.4,0.003
201906300700,서초구,33,35,33,0.026,0.015,0.3,0.004
201906300700,강남구,34,32,24,0.025,0.012,0.4,0.005
201906300600,용산구,33,31,31,0.027,0.011,0.4,0.002
201906300600,종로구,37,31,26,0.03,0.013,0.4,0.003
201906300600,중구,41,35,30,0.042,0.012,0.4,0.003
201906300600,마포구,49,42,41,0.034,0.009,0.4,0.004
201906300600,서대문구,44,36,40,0.029,0.006,0.7,0.003
201906300600,은평구,0,37,31,0.024,0.013,0.2,0.004
201906300600,동대문구,36,30,28,0.032,0.01,0.3,0.003
201906300600,성북구,0,13,20,0.016,0.02,0.7,0.002
201906300600,중랑구,27,23,26,0.017,0.013,0.3,0.005
201906300600,도봉구,38,32,25,0.027,0.008,0.4,0.003
201906300600,강북구,37,35,24,0.02,0.008,0.4,0.002
201906300600,노원구,29,28,25,0.016,0.015,0.4,0.004
201906300600,성동구,61,46,50,0.037,0.015,0.4,0.002
201906300600,광진구,0,29,34,0.011,0.019,0.6,0.003
201906300600,금천구,30,32,23,0.021,0.014,0.4,0.003
201906300600,영등포구,44,45,40,0.027,0.024,0.4,0.002
201906300600,강서구,34,37,25,0.035,0.01,0.4,0.005
201906300600,관악구,44,41,29,0.032,0.017,0.3,0.004
201906300600,구로구,32,31,30,0.029,0.015,0.3,0.004
201906300600,동작구,37,38,26,0.028,0.01,0.3,0.002
201906300600,양천구,38,41,25,0.03,0.01,0.4,0.005
